field_organization_name,field_address_1,field_city,field_state,Zip,field_phone,field_latitude,field_longitude,title,field_school_type,field_type
Placer Learning Center,5477 Eureka Rd Ste 2,Granite Bay,CA,95746,(916) 774-1260,38.7368,-121.198,Placer Learning Center,private,school
Precious Cargo Christian Academy,433 Sixth St,Norco,CA,92860,(951) 736-0312,33.9389,-117.531,Precious Cargo Christian Academy,private,school
Renaissance Village Academy,9988 Hibert St Ste 301,San Diego,CA,92131,(858) 564-9622,32.9141,-117.111,Renaissance Village Academy,private,school
Seaport Academy,452 5th Ave,Redwood City,CA,94063,(650) 367-6791,37.4736,-122.203,Seaport Academy,private,school
Tahoe Expedition Academy,8651 Speckled Ave,Kings Beach,CA,96143,(530) 546-5253,39.2436,-120.021,Tahoe Expedition Academy,private,school
The Rock Christian School,2345 S Waterman Ave,San Bernardino,CA,92408,(909) 825-8887,34.0594,-117.277,The Rock Christian School,private,school
Valley Christian Schools,10818 Artesia Blvd,Cerritos,CA,90703,(562) 860-0556,33.8695,-118.103,Valley Christian Schools,private,school
Weil Tennis Academy and College Preparatory School,428 Bryant Cir,Ojai,CA,93023,(805) 640-3413,34.4444,-119.239,Weil Tennis Academy and College Preparatory School,private,school
Denver Street School-East Campus,1585 Kingston St,Aurora,CO,80010,(720) 935-2154,39.7413,-104.859,Denver Street School-East Campus,private,school
Evangelical Christian Academy,4052 S Nonchalant Cir,Colorado Springs,CO,80917,(719) 597-3675,38.88,-104.752,Evangelical Christian Academy,private,school
Jefferson Hills - Lakewood,421 Zang Street,Lakewood,CO,80228,(303) 432-5772,39.7238,-105.146,Jefferson Hills - Lakewood,private,school
Chapel Haven School,1040 Whalley Ave,New Haven,CT,6515,(203) 397-1714,41.3284,-72.9646,Chapel Haven School,private,school
Futures School,1030 New Britain Ave Ste 102,West Hartford,CT,6110,(860) 347-5099,41.7301,-72.7243,Futures School,private,school
Lighthouse Vocational-Ed Center (site 3),58 Pennsylvania Ave,Niantic,CT,6357,(860) 445-7626,41.3255,-72.1931,Lighthouse Vocational-Ed Center (site 3),private,school
The Academy of Wheeler Clinic,20 Tuttle Pl Ste 4,Middletown,CT,6457,(860) 632-4100,41.5946,-72.6805,The Academy of Wheeler Clinic,private,school
Options Educational Services,606 Farmington Ave,Hartford,CT,6105,(860) 712-6362,41.7661,-72.7129,Options Educational Services,private,school
Towle Institute,199 Polly Drummond Hill Road,Newark,DE,19711,(302) 993-1408,39.7141,-75.7136,Towle Institute,private,school
Abundantcrescent City Christian Academy,2701 S Us Highway 17,Crescent City,FL,32112,(386) 698-1133,29.4045,-81.51,Abundantcrescent City Christian Academy,private,school
Ace Academy South,303 W. Palm Dr.,Florida City,FL,33034,(786) 650-2030,25.4476,-80.481,Ace Academy South,private,school
American High School,7777b Davie Road Ext Ste 201b,Hollywood,FL,33024,(866) 936-9654,26.0352,-80.2442,American High School,private,school
Austin Christian Academy,6901 N Main St,Jacksonville,FL,32208,(904) 647-5065,30.382,-81.6494,Austin Christian Academy,private,school
Bethel Christian Academy,312 N Duss Street,New Smyrna Beach,FL,32168,(386) 427-8889,29.0244,-80.933,Bethel Christian Academy,private,school
Brevard Academy,3453 W New Haven Ave Ste B,West Melbourne,FL,32904,(321) 345-4309,28.0783,-80.6808,Brevard Academy,private,school
Bright Learning - Cyber High School,7300 Aloma Ave,Winter Park,FL,32792,(407) 657-2130,28.6081,-81.2906,Bright Learning - Cyber High School,private,school
