field_organization_name,field_address_1,field_city,field_state,Zip,field_phone,field_latitude,field_longitude,title,field_school_type,field_type
Sandia View Academy,65 Sandia View Ln,Corrales,NM,87048,(505) 898-0717,35.2466,-106.606,Sandia View Academy,private,school
Pathways Academy,1776 Montano NW,Los Ranchos,NM,87107,(505) 341-0555,35.1407,-106.663,Pathways Academy,private,school
Aaron School,309 E 45th St Rear 1,New York,NY,10017,(212) 867-9594,40.6543,-73.9352,Aaron School,private,school
Ascent School for Individuals with Autism,819 Grand Blvd Ste 2,Deer Park,NY,11729,(631) 254-6100,40.7621,-73.3085,Ascent School for Individuals with Autism,private,school
Bnos Margulia Viznitz,971 41st St,Brooklyn,NY,11219,(718) 234-2050,40.644,-73.9948,Bnos Margulia Viznitz,private,school
Bnos Square of Williamsburg,282 Willoughby Ave,Brooklyn,NY,11205,(718) 797-9844,40.693,-73.9554,Bnos Square of Williamsburg,private,school
Bnos Yisroel Girls' School of Viznitz,1 School Ter,Monsey,NY,10952,(845) 731-3700,41.127,-74.0705,Bnos Yisroel Girls' School of Viznitz,private,school
Center Road Christian Academy,412 Center Rd,West Seneca,NY,14224,(716) 675-6545,42.8397,-78.7669,Center Road Christian Academy,private,school
Darchai Menachem Inc,432 Rutland Rd,Brooklyn,NY,11203,(718) 953-2919,40.6595,-73.9462,Darchai Menachem Inc,private,school
Gateway-Longview Lynde School,6350 Main St,Williamsville,NY,14221,(716) 783-3100,42.9663,-78.7153,Gateway-Longview Lynde School,private,school
Helderberg Christian School,96 Main Street,East Berne,NY,12059,(518) 499-5416,42.6158,-74.0725,Helderberg Christian School,private,school
Learningspring School,247 E 20th St,New York,NY,10003,(212) 239-4926,40.7363,-73.9825,Learningspring School,private,school
White Lotus School,80 Kemp Rd,Delhi,NY,13753,(607) 829-2199,42.3372,-74.9886,White Lotus School,private,school
MC Carton School,331 W 25th St,New York,NY,10001,(212) 229-1715,40.7473,-73.9988,MC Carton School,private,school
Machon Bais Yaakov Hilda Birn High School,1683 42nd St,Brooklyn,NY,11204,(718) 972-7900,40.6337,-73.979,Machon Bais Yaakov Hilda Birn High School,private,school
Nassau Suffolk Services for Autism,80 Hauppauge Rd,Commack,NY,11725,(631) 462-0386,40.8279,-73.305,Nassau Suffolk Services for Autism,private,school
Poughkeepsie Day School,260 Boardman Rd,Poughkeepsie,NY,12603,(845) 462-7600,41.6583,-73.8894,Poughkeepsie Day School,private,school
Sar High School,503 W 259th St,Bronx,NY,10471,(718) 548-2727,40.9076,-73.9045,Sar High School,private,school
Sheri Torah V'Yoel Moshe,23-25 Larkin Drive,Monroe,NY,10950,(845) 782-8800,41.325,-74.1644,Sheri Torah V'Yoel Moshe,private,school
St Joseph Hill Academy High School,850 Hylan Blvd,Staten Island,NY,10305,(718) 447-1374,40.5997,-74.0709,St Joseph Hill Academy High School,private,school
The Solomon Schechter School of Westchester,555 W Hartsdale Ave,Hartsdale,NY,10530,(914) 948-8333,41.0331,-73.8075,The Solomon Schechter School of Westchester,private,school
Montfort Academy,125 E Birch St,Mount Vernon,NY,10552,(914) 699-7090,40.9271,-73.8318,Montfort Academy,private,school
Talmud Torah of Bobov,49 South Main Street,Spring Valley,NY,10977,(845) 352-2644,41.1083,-74.0452,Talmud Torah of Bobov,private,school
West End Day School,255 W 71st St,New York,NY,10023,(212) 873-5708,40.7789,-73.9839,West End Day School,private,school
Yeshiva Birchas Shmuel,1214 E 15th St,Brooklyn,NY,11230,(718) 258-7007,40.6198,-73.9606,Yeshiva Birchas Shmuel,private,school
Brtish International School of Charlotte,7000 Endhaven Ln,Charlotte,NC,28277,(704) 341-3236,35.072,-80.8381,Brtish International School of Charlotte,private,school
Christ School,500 Christ School Rd,Arden,NC,28704,(828) 684-6232,35.4667,-82.4887,Christ School,private,school
Flaming Sword Christian Academy,111 Burns St,Fayetteville,NC,28301,(910) 764-3500,35.0487,-78.8685,Flaming Sword Christian Academy,private,school
Faith Christian Academy,904 Chipola St,Kannapolis,NC,28083,(704) 933-7586,35.4942,-80.6079,Faith Christian Academy,private,school
Northview Baptist Academy,7455 Ramsey St,Fayetteville,NC,28311,(910) 488-9788,35.1954,-78.85,Northview Baptist Academy,private,school
Outreach Christian Academy,440 Battley Dairy Rd,Hamlet,NC,28345,(910) 582-8884,34.8764,-79.7419,Outreach Christian Academy,private,school
Raleigh Christian Academy,2110 Trawick Rd,Raleigh,NC,27604,(919) 872-2215,35.8082,-78.5758,Raleigh Christian Academy,private,school
Spirit of Life Christian Academy,180 Overland Rd,Clinton,NC,28328,(910) 592-9591,34.9886,-78.3546,Spirit of Life Christian Academy,private,school
South Charlotte Baptist Academy,12416 Lancaster Hwy,Pineville,NC,28134,(704) 544-7323,35.0728,-80.8801,South Charlotte Baptist Academy,private,school
Woodlawn School,135 Woodlawn School Loop,Mooresville,NC,28115,(704) 895-8653,35.519,-80.8351,Woodlawn School,private,school
Middletown Christian School,3011 N. Union Rd.,Franklin,OH,45005,(513) 423-4542,39.4884,-84.3228,Middletown Christian School,private,school
St Aloysius Education Center,4721 Reading Rd,Cincinnati,OH,45237,(513) 242-7600,39.1714,-84.4693,St Aloysius Education Center,private,school
Temple Christian Academy,21453 Floralwood Dr,Howard,OH,43028,(740) 397-9673,40.4536,-82.358,Temple Christian Academy,private,school
